Fiyat,Lokasyon,m2,Oda,Tarih
15.000 TL,KurupelitKörfez Mh.,60,1+1,22 Aralık  2025
19.000 TL,AtakumMimarsinan Mah.,65,1+1,22 Aralık  2025
13.250 TL,KurupelitKörfez Mh.,55,1+1,22 Aralık  2025
14.000 TL,KurupelitKörfez Mh.,65,1+1,23 Aralık  2025
30.000 TL,AtakentYenimahalle Mah.,120,2+1,22 Aralık  2025
23.000 TL,AtakentYenimahalle Mah.,135,3+1,23 Aralık  2025
25.000 TL,KöylerBalaç Mh.,125,2+1,22 Aralık  2025
16.000 TL,AtakentAtakent Mh.,75,1+1,22 Aralık  2025
15.200 TL,KurupelitKörfez Mh.,55,1+1,23 Aralık  2025
13.000 TL,KurupelitKörfez Mh.,45,1+1,23 Aralık  2025
13.500 TL,KurupelitKörfez Mh.,60,1+1,22 Aralık  2025
33.500 TL,KurupelitKörfez Mh.,130,2+1,22 Aralık  2025
20.000 TL,KurupelitKörfez Mh.,140,3+1,22 Aralık  2025
31.500 TL,KöylerBalaç Mh.,180,3+1,22 Aralık  2025
33.000 TL,KurupelitKörfez Mh.,95,2+1,22 Aralık  2025
18.500 TL,KöylerBalaç Mh.,54,1+1,22 Aralık  2025
32.000 TL,KurupelitKörfez Mh.,60,1+1,22 Aralık  2025
25.000 TL,KurupelitKörfez Mh.,65,1+1,22 Aralık  2025
21.000 TL,AtakentYenimahalle Mah.,55,1+1,22 Aralık  2025
47.000 TL,AtakentGüzelyalı Mh.,170,3.5+1,22 Aralık  2025
12.500 TL,KöylerBüyükoyumca Mh.,50,1+1,23 Aralık  2025
25.000 TL,AtakentAtakent Mh.,155,3+1,22 Aralık  2025
18.000 TL,Atakumİstiklal Mh.,90,2+1,22 Aralık  2025
35.000 TL,KöylerBüyükoyumca Mh.,215,4+1,22 Aralık  2025
22.500 TL,KöylerBalaç Mh.,50,1+1,22 Aralık  2025
23.000 TL,AtakumCumhuriyet Mah.,95,2+1,22 Aralık  2025
18.000 TL,Atakumİstiklal Mh.,55,1+1,22 Aralık  2025
27.000 TL,AtakumYeşildere Mh.,100,2+1,22 Aralık  2025
13.500 TL,AtakentYenimahalle Mah.,47,3+1,22 Aralık  2025
10.000 TL,AtakentYenimahalle Mah.,47,3+1,23 Aralık  2025
20.000 TL,KurupelitKörfez Mh.,60,1+1,23 Aralık  2025
12.500 TL,AtakentYenimahalle Mah.,60,1+1,22 Aralık  2025
18.000 TL,MerkezAlanlı Mh.,60,1+1,22 Aralık  2025
14.500 TL,KurupelitKörfez Mh.,65,1+1,23 Aralık  2025
24.500 TL,KöylerBalaç Mh.,150,3+1,22 Aralık  2025
25.000 TL,KurupelitKörfez Mh.,85,2+1,24 Aralık  2025
17.500 TL,KöylerBüyükoyumca Mh.,65,1+1,23 Aralık  2025
10.000 TL,KurupelitKörfez Mh.,65,1+1,22 Aralık  2025
18.000 TL,KurupelitKörfez Mh.,55,1+1,22 Aralık  2025
14.500 TL,AtakentYenimahalle Mah.,55,1+1,22 Aralık  2025
15.750 TL,KurupelitKörfez Mh.,55,1+1,22 Aralık  2025
10.000 TL,KurupelitKörfez Mh.,50,1+1,22 Aralık  2025
15.000 TL,AtakentYenimahalle Mah.,55,1+1,24 Aralık  2025
10.000 TL,KurupelitKörfez Mh.,50,1+1,22 Aralık  2025
15.000 TL,AtakentYenimahalle Mah.,55,1+1,24 Aralık  2025
14.250 TL,AtakumMevlana Mah.,55,1+1,23 Aralık  2025
27.000 TL,KurupelitKörfez Mh.,55,1+1,25 Aralık  2025
21.500 TL,KurupelitKörfez Mh.,65,1+1,22 Aralık  2025
12.500 TL,KurupelitKörfez Mh.,60,1+1,22 Aralık  2025
27.000 TL,KöylerKüçükkolpınar Mh.,60,1+1,22 Aralık  2025
26.000 TL,KöylerKüçükkolpınar Mh.,125,2+1,22 Aralık  2025
16.500 TL,KurupelitKörfez Mh.,60,1+1,25 Aralık  2025
12.500 TL,KurupelitKörfez Mh.,55,1+1,22 Aralık  2025
23.500 TL,KöylerÇobanlı Mh.,130,3+1,22 Aralık  2025
17.000 TL,AtakentYenimahalle Mah.,60,1+1,22 Aralık  2025
24.500 TL,AtakentYenimahalle Mah.,65,1+1,22 Aralık  2025
14.250 TL,KurupelitKörfez Mh.,55,1+1,23 Aralık  2025
15.000 TL,KöylerBüyükoyumca Mh.,60,1+1,22 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,50,1+1,22 Aralık  2025
16.500 TL,KurupelitKörfez Mh.,55,1+1,22 Aralık  2025
19.000 TL,KöylerKüçükkolpınar Mh.,50,1+1,22 Aralık  2025
45.000 TL,AtakentYenimahalle Mah.,230,4+1,22 Aralık  2025
19.500 TL,AtakumMevlana Mah.,55,1+1,22 Aralık  2025
20.000 TL,KöylerKüçükkolpınar Mh.,55,1+1,22 Aralık  2025
29.500 TL,AtakumDenizevleri Mah.,130,3+1,22 Aralık  2025
20.000 TL,AtakentGüzelyalı Mh.,60,1+1,22 Aralık  2025
37.500 TL,AtakentAtakent Mh.,160,3+1,22 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,55,1+1,22 Aralık  2025
18.000 TL,AtakumCumhuriyet Mah.,130,3+1,22 Aralık  2025
13.500 TL,AtakentYenimahalle Mah.,55,1+1,22 Aralık  2025
24.000 TL,MerkezAlanlı Mh.,155,3+1,22 Aralık  2025
15.500 TL,AtakentAtakent Mh.,85,1+1,22 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,50,1+1,22 Aralık  2025
15.250 TL,AtakentAtakent Mh.,60,1+1,21 Aralık  2025
15.250 TL,AtakentYenimahalle Mah.,55,1+1,22 Aralık  2025
15.000 TL,AtakentYenimahalle Mah.,60,1+1,22 Aralık  2025
16.000 TL,KurupelitKörfez Mh.,50,1+1,21 Aralık  2025
20.000 TL,KurupelitKörfez Mh.,120,2+1,21 Aralık  2025
12.500 TL,Atakumİstiklal Mh.,55,1+1,21 Aralık  2025
13.000 TL,KurupelitKörfez Mh.,40,1+1,21 Aralık  2025
17.000 TL,KurupelitKörfez Mh.,50,1+1,21 Aralık  2025
18.000 TL,AtakentAtakent Mh.,50,1+1,23 Aralık  2025
13.000 TL,KöylerBüyükoyumca Mh.,55,1+1,21 Aralık  2025
12.500 TL,KöylerBüyükoyumca Mh.,50,1+1,21 Aralık  2025
22.500 TL,AtakumEsenevler Mah.,60,1+1,21 Aralık  2025
22.500 TL,AtakumEsenevler Mah.,60,1+1,21 Aralık  2025
13.000 TL,KöylerBüyükoyumca Mh.,46,1+1,21 Aralık  2025
16.000 TL,KurupelitKörfez Mh.,55,1+1,21 Aralık  2025
13.500 TL,AtakentYenimahalle Mah.,70,1+1,21 Aralık  2025
17.500 TL,KöylerBüyükoyumca Mh.,135,3+1,21 Aralık  2025
16.000 TL,Altınkumİncesu Yalı Mh.,50,1+1,22 Aralık  2025
16.000 TL,AtakumMevlana Mah.,100,2+1,21 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,60,1+1,21 Aralık  2025
34.000 TL,AtakumDenizevleri Mah.,120,2+1,21 Aralık  2025
14.000 TL,KöylerBüyükoyumca Mh.,50,1+1,21 Aralık  2025
37.000 TL,KurupelitKörfez Mh.,140,3+1,21 Aralık  2025
28.000 TL,AtakentYenimahalle Mah.,135,3+1,21 Aralık  2025
16.250 TL,KurupelitKörfez Mh.,55,1+1,22 Aralık  2025
20.000 TL,KurupelitKörfez Mh.,68,1+1,21 Aralık  2025
17.500 TL,MerkezAlanlı Mh.,70,2+1,21 Aralık  2025
24.000 TL,ÇatalçamYeşilyurt Mh.,185,3+1,21 Aralık  2025
20.000 TL,AtakumCumhuriyet Mah.,150,3+1,22 Aralık  2025
20.000 TL,AtakumMevlana Mah.,60,1+1,24 Aralık  2025
24.500 TL,AtakumMevlana Mah.,177,3+1,21 Aralık  2025
27.500 TL,Altınkumİncesu Yalı Mh.,145,3+1,21 Aralık  2025
12.500 TL,KurupelitKörfez Mh.,55,1+1,21 Aralık  2025
21.000 TL,AtakumYeşildere Mh.,55,1+1,22 Aralık  2025
17.500 TL,AtakumMimarsinan Mah.,105,2+1,21 Aralık  2025
18.000 TL,Atakumİstiklal Mh.,60,1+1,21 Aralık  2025
36.000 TL,AtakumDenizevleri Mah.,55,1+1,21 Aralık  2025
16.000 TL,AtakumDenizevleri Mah.,120,2+1,21 Aralık  2025
25.000 TL,AtakentYenimahalle Mah.,145,3+1,21 Aralık  2025
24.000 TL,KurupelitKörfez Mh.,145,3+1,21 Aralık  2025
28.000 TL,AtakentAtakent Mh.,150,3+1,21 Aralık  2025
25.000 TL,AtakentYenimahalle Mah.,145,3+1,21 Aralık  2025
20.000 TL,AtakumDenizevleri Mah.,130,3+1,21 Aralık  2025
25.500 TL,MerkezAlanlı Mh.,130,3+1,22 Aralık  2025
80.000 TL,AtakentGüzelyalı Mh.,225,4+1,21 Aralık  2025
18.000 TL,AtakentYenimahalle Mah.,130,3+1,21 Aralık  2025
23.000 TL,AtakumMimarsinan Mah.,130,3+1,21 Aralık  2025
17.500 TL,KurupelitKörfez Mh.,100,2+1,22 Aralık  2025
13.000 TL,KöylerKüçükkolpınar Mh.,75,1+1,22 Aralık  2025
36.000 TL,AtakumCumhuriyet Mah.,200,5+1,21 Aralık  2025
16.000 TL,AtakentYenimahalle Mah.,55,1+1,21 Aralık  2025
17.000 TL,KurupelitKörfez Mh.,55,1+1,22 Aralık  2025
15.500 TL,KurupelitKörfez Mh.,55,1+1,21 Aralık  2025
18.000 TL,AtakentAtakent Mh.,60,1+1,21 Aralık  2025
18.000 TL,AtakentAtakent Mh.,60,1+1,21 Aralık  2025
15.000 TL,AtakentAtakent Mh.,55,1+1,22 Aralık  2025
20.000 TL,AtakentYenimahalle Mah.,75,1+1,22 Aralık  2025
26.000 TL,AtakentGüzelyalı Mh.,110,2+1,21 Aralık  2025
15.000 TL,AtakentYenimahalle Mah.,48,1+1,21 Aralık  2025
17.000 TL,AtakentYenimahalle Mah.,60,1+1,22 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,55,1+1,21 Aralık  2025
15.500 TL,KurupelitKörfez Mh.,60,1+1,21 Aralık  2025
13.500 TL,KurupelitKörfez Mh.,40,1+1,24 Aralık  2025
17.500 TL,AtakentYenimahalle Mah.,90,2+1,22 Aralık  2025
9.250 TL,KurupelitKörfez Mh.,60,1+1,22 Aralık  2025
11.500 TL,KurupelitKörfez Mh.,55,1+1,22 Aralık  2025
16.000 TL,AtakentAtakent Mh.,58,1+1,21 Aralık  2025
14.500 TL,KurupelitKörfez Mh.,55,1+1,25 Aralık  2025
12.000 TL,AtakentYenimahalle Mah.,45,Stüdyo (1+0),22 Aralık  2025
25.000 TL,AtakumMevlana Mah.,110,2+1,21 Aralık  2025
13.500 TL,KurupelitKörfez Mh.,52,1+1,21 Aralık  2025
17.500 TL,AtakentGüzelyalı Mh.,60,1+1,22 Aralık  2025
16.000 TL,AtakumCumhuriyet Mah.,160,3+1,21 Aralık  2025
18.500 TL,AtakentYenimahalle Mah.,65,1+1,22 Aralık  2025
25.000 TL,AtakumMevlana Mah.,145,3+1,21 Aralık  2025
20.000 TL,KöylerBüyükoyumca Mh.,125,3+1,21 Aralık  2025
23.000 TL,AtakumBeypınar Mh.,100,2+1,21 Aralık  2025
17.000 TL,KurupelitKörfez Mh.,60,1+1,21 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,50,1+1,21 Aralık  2025
16.000 TL,KöylerBüyükoyumca Mh.,55,1+1,21 Aralık  2025
15.500 TL,KurupelitKörfez Mh.,50,1+1,22 Aralık  2025
17.000 TL,KurupelitKörfez Mh.,90,2+1,20 Aralık  2025
20.000 TL,AtakentAtakent Mh.,100,2+1,20 Aralık  2025
20.000 TL,KurupelitKörfez Mh.,55,1+1,20 Aralık  2025
16.750 TL,KurupelitKörfez Mh.,45,1+1,20 Aralık  2025
12.500 TL,MerkezAlanlı Mh.,57,1+1,20 Aralık  2025
15.500 TL,AtakentYenimahalle Mah.,50,1+1,20 Aralık  2025
23.000 TL,KurupelitKörfez Mh.,90,2+1,20 Aralık  2025
31.000 TL,KurupelitKörfez Mh.,155,3+1,20 Aralık  2025
28.000 TL,KurupelitKörfez Mh.,100,2+1,21 Aralık  2025
14.000 TL,AtakentYenimahalle Mah.,65,1+1,21 Aralık  2025
13.500 TL,KurupelitKörfez Mh.,55,1+1,20 Aralık  2025
16.500 TL,AtakumMimarsinan Mah.,100,2+1,20 Aralık  2025
26.000 TL,AtakentAtakent Mh.,140,3+1,20 Aralık  2025
21.500 TL,KurupelitKörfez Mh.,80,2+1,20 Aralık  2025
14.800 TL,KurupelitKörfez Mh.,55,1+1,21 Aralık  2025
30.000 TL,AtakentYenimahalle Mah.,150,3+1,20 Aralık  2025
30.000 TL,AtakentGüzelyalı Mh.,120,3+1,20 Aralık  2025
16.000 TL,AtakentYenimahalle Mah.,65,1+1,20 Aralık  2025
15.500 TL,KurupelitKörfez Mh.,55,1+1,23 Aralık  2025
22.000 TL,AtakumCumhuriyet Mah.,100,2+1,20 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,43,1+1,26 Aralık  2025
12.500 TL,KurupelitKörfez Mh.,50,1+1,20 Aralık  2025
25.000 TL,KöylerKüçükkolpınar Mh.,105,2+1,20 Aralık  2025
20.000 TL,AtakentYenimahalle Mah.,200,4+1,20 Aralık  2025
25.500 TL,KöylerBalaç Mh.,55,1+1,20 Aralık  2025
12.000 TL,KurupelitKörfez Mh.,50,1+1,20 Aralık  2025
21.500 TL,AtakumMevlana Mah.,100,2+1,20 Aralık  2025
25.250 TL,AtakentYenimahalle Mah.,115,2+1,21 Aralık  2025
10.000 TL,KurupelitKörfez Mh.,55,1+1,20 Aralık  2025
19.000 TL,AtakumMimarsinan Mah.,125,3+1,20 Aralık  2025
29.000 TL,KöylerÇobanlı Mh.,155,3+1,20 Aralık  2025
15.500 TL,AtakentYenimahalle Mah.,55,1+1,20 Aralık  2025
11.000 TL,KurupelitKörfez Mh.,50,1+1,22 Aralık  2025
11.000 TL,KurupelitKörfez Mh.,50,1+1,22 Aralık  2025
37.000 TL,KöylerBüyükkolpınar Mh.,220,4+1,20 Aralık  2025
51.000 TL,KurupelitKörfez Mh.,280,5+2,21 Aralık  2025
13.000 TL,Atakumİstiklal Mh.,50,1+1,20 Aralık  2025
9.250 TL,KurupelitKörfez Mh.,40,1+1,20 Aralık  2025
21.000 TL,AtakumCumhuriyet Mah.,150,3+1,21 Aralık  2025
10.000 TL,Altınkumİncesu Yalı Mh.,60,1+1,20 Aralık  2025
22.500 TL,AtakumYeşildere Mh.,100,2+1,22 Aralık  2025
18.000 TL,KurupelitKörfez Mh.,70,1+1,20 Aralık  2025
20.000 TL,Altınkumİncesu Yalı Mh.,55,1+1,20 Aralık  2025
17.000 TL,KurupelitKörfez Mh.,74,2+1,20 Aralık  2025
22.000 TL,AtakumBeypınar Mh.,100,2+1,20 Aralık  2025
17.500 TL,KöylerBüyükoyumca Mh.,50,1+1,20 Aralık  2025
14.500 TL,KurupelitKörfez Mh.,50,1+1,23 Aralık  2025
13.999 TL,Atakumİstiklal Mh.,60,1+1,20 Aralık  2025
21.000 TL,AtakumCumhuriyet Mah.,120,2+1,20 Aralık  2025
12.000 TL,MerkezAlanlı Mh.,60,1+1,20 Aralık  2025
10.000 TL,AtakumCumhuriyet Mah.,40,1+1,20 Aralık  2025
14.000 TL,KurupelitKörfez Mh.,53,1+1,20 Aralık  2025
21.000 TL,KurupelitKörfez Mh.,100,2+1,21 Aralık  2025
250.000 TL,Altınkumİncesu Yalı Mh.,800,5+1,20 Aralık  2025
80.000 TL,AtakumMimarsinan Mah.,240,4+1,26 Aralık  2025
14.500 TL,KurupelitKörfez Mh.,60,1+1,21 Aralık  2025
25.000 TL,KurupelitKörfez Mh.,95,2+1,20 Aralık  2025
18.000 TL,KurupelitKörfez Mh.,70,1+1,20 Aralık  2025
25.000 TL,KöylerKüçükkolpınar Mh.,120,2+1,20 Aralık  2025
25.000 TL,AtakentAtakent Mh.,140,3+1,20 Aralık  2025
17.000 TL,AtakentAtakent Mh.,240,4+1,22 Aralık  2025
20.000 TL,AtakentAtatepe,155,3+1,20 Aralık  2025
25.000 TL,KurupelitKörfez Mh.,55,1+1,20 Aralık  2025
17.000 TL,AtakumEsenevler Mah.,150,3+1,20 Aralık  2025
19.000 TL,AtakentAtakent Mh.,95,2+1,20 Aralık  2025
17.000 TL,AtakentAtakent Mh.,55,1+1,22 Aralık  2025
19.000 TL,AtakumCumhuriyet Mah.,135,3+1,20 Aralık  2025
11.000 TL,AtakentYenimahalle Mah.,48,1+1,20 Aralık  2025
12.750 TL,AtakumEsenevler Mah.,110,2+1,20 Aralık  2025
15.250 TL,KurupelitKörfez Mh.,55,1+1,22 Aralık  2025
23.000 TL,KurupelitKörfez Mh.,85,2+1,26 Aralık  2025
20.000 TL,Atakumİstiklal Mh.,105,2+1,20 Aralık  2025
20.000 TL,KurupelitKörfez Mh.,100,2+1,22 Aralık  2025
13.000 TL,AtakumEsenevler Mah.,55,1+1,20 Aralık  2025
30.000 TL,AtakumDenizevleri Mah.,160,3+1,20 Aralık  2025
30.000 TL,AtakumDenizevleri Mah.,160,3+1,20 Aralık  2025
10.500 TL,Altınkumİncesu Yalı Mh.,55,1+1,20 Aralık  2025
11.250 TL,AtakumMevlana Mah.,55,1+1,20 Aralık  2025
25.000 TL,AtakumYeşildere Mh.,100,2+1,20 Aralık  2025
20.000 TL,KurupelitKörfez Mh.,65,1+1,22 Aralık  2025
9.500 TL,AtakumMevlana Mah.,55,1+1,20 Aralık  2025
21.000 TL,AtakentYenimahalle Mah.,65,1+1,20 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,50,1+1,22 Aralık  2025
16.000 TL,AtakentYenimahalle Mah.,92,2+1,20 Aralık  2025
9.999 TL,KurupelitKörfez Mh.,50,1+1,20 Aralık  2025
26.000 TL,AtakumMimarsinan Mah.,170,6+1,20 Aralık  2025
10.499 TL,KöylerBüyükoyumca Mh.,55,1+1,21 Aralık  2025
26.000 TL,AtakentYenimahalle Mah.,120,3+1,20 Aralık  2025
14.000 TL,KurupelitKörfez Mh.,55,1+1,25 Aralık  2025
22.000 TL,AtakumCumhuriyet Mah.,140,3+1,20 Aralık  2025
12.000 TL,KurupelitKörfez Mh.,60,1+1,26 Aralık  2025
16.000 TL,KurupelitKörfez Mh.,55,1+1,22 Aralık  2025
23.500 TL,AtakentAtakent Mh.,155,3+1,20 Aralık  2025
13.500 TL,KurupelitKörfez Mh.,52,1+1,22 Aralık  2025
25.000 TL,AtakumEsenevler Mah.,185,3+1,20 Aralık  2025
16.499 TL,AtakentYenimahalle Mah.,100,2+1,20 Aralık  2025
14.999 TL,KurupelitKörfez Mh.,55,1+1,21 Aralık  2025
14.000 TL,AtakumÇakırlar Yalı Mh.,55,1+1,20 Aralık  2025
14.000 TL,KurupelitKörfez Mh.,60,1+1,20 Aralık  2025
18.000 TL,AtakumCumhuriyet Mah.,110,2+1,20 Aralık  2025
24.000 TL,KöylerÇobanlı Mh.,105,2+1,20 Aralık  2025
17.000 TL,AtakumEsenevler Mah.,120,2+1,20 Aralık  2025
12.500 TL,KurupelitKörfez Mh.,50,1+1,19 Aralık  2025
13.000 TL,KurupelitKörfez Mh.,55,1+1,19 Aralık  2025
19.500 TL,KöylerBalaç Mh.,130,2+1,19 Aralık  2025
36.000 TL,KöylerBüyükoyumca Mh.,200,4+1,19 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,55,1+1,20 Aralık  2025
16.000 TL,AtakumEsenevler Mah.,55,1.5+1,20 Aralık  2025
16.500 TL,KurupelitKörfez Mh.,60,1+1,21 Aralık  2025
17.000 TL,KurupelitKörfez Mh.,49,1+1,19 Aralık  2025
20.500 TL,AtakumCumhuriyet Mah.,65,1+1,19 Aralık  2025
16.000 TL,KurupelitKörfez Mh.,50,1+1,19 Aralık  2025
12.500 TL,KurupelitKörfez Mh.,52,1+1,19 Aralık  2025
23.000 TL,KurupelitKörfez Mh.,110,2+1,20 Aralık  2025
26.000 TL,KöylerKüçükkolpınar Mh.,130,3+1,19 Aralık  2025
16.000 TL,AtakentYenimahalle Mah.,120,2+1,19 Aralık  2025
15.000 TL,AtakentYenimahalle Mah.,50,1+1,19 Aralık  2025
25.500 TL,AtakentAtakent Mh.,110,2+1,20 Aralık  2025
14.500 TL,KöylerÇobanlı Mh.,60,1+1,19 Aralık  2025
18.000 TL,AtakumMimarsinan Mah.,120,2+1,19 Aralık  2025
18.000 TL,KöylerKüçükkolpınar Mh.,50,1+1,20 Aralık  2025
27.500 TL,AtakumEsenevler Mah.,150,3+1,19 Aralık  2025
16.000 TL,AtakumMimarsinan Mah.,135,3+1,19 Aralık  2025
10.000 TL,Atakumİstiklal Mh.,50,1+1,19 Aralık  2025
14.000 TL,KurupelitKörfez Mh.,52,1+1,20 Aralık  2025
16.500 TL,MerkezAlanlı Mh.,50,1+1,12 Aralık  2025
16.000 TL,KurupelitKörfez Mh.,65,1+1,19 Aralık  2025
27.000 TL,AtakentYenimahalle Mah.,160,3+1,19 Aralık  2025
15.500 TL,KurupelitKörfez Mh.,44,1+1,19 Aralık  2025
10.500 TL,AtakentYenimahalle Mah.,55,1+1,19 Aralık  2025
16.500 TL,AtakentYenimahalle Mah.,90,2+1,20 Aralık  2025
48.500 TL,AtakentGüzelyalı Mh.,160,3+1,20 Aralık  2025
14.500 TL,KurupelitKörfez Mh.,50,1+1,23 Aralık  2025
65.000 TL,AtakentGüzelyalı Mh.,160,3+1,20 Aralık  2025
80.000 TL,KöylerBüyükoyumca Mh.,400,7+1,19 Aralık  2025
80.000 TL,KöylerBalaç Mh.,197,4+1,19 Aralık  2025
24.000 TL,KurupelitKörfez Mh.,65,1+1,20 Aralık  2025
28.000 TL,AtakentYenimahalle Mah.,105,2+1,20 Aralık  2025
18.000 TL,AtakentYenimahalle Mah.,50,1+1,20 Aralık  2025
11.000 TL,KöylerBüyükoyumca Mh.,45,1+1,19 Aralık  2025
85.000 TL,KöylerBüyükoyumca Mh.,400,7+1,19 Aralık  2025
23.000 TL,KurupelitKörfez Mh.,55,1+1,22 Aralık  2025
37.000 TL,AtakumBeypınar Mh.,200,4+1,19 Aralık  2025
11.500 TL,Atakumİstiklal Mh.,55,1+1,19 Aralık  2025
26.000 TL,KöylerBalaç Mh.,100,2+1,19 Aralık  2025
25.500 TL,AtakentGüzelyalı Mh.,65,2+1,19 Aralık  2025
10.250 TL,KurupelitKörfez Mh.,55,1+1,20 Aralık  2025
17.000 TL,AtakumCumhuriyet Mah.,80,2+1,20 Aralık  2025
55.000 TL,AtakentGüzelyalı Mh.,180,3+1,20 Aralık  2025
17.000 TL,KurupelitKörfez Mh.,55,1+1,20 Aralık  2025
12.500 TL,KurupelitKörfez Mh.,55,1+1,19 Aralık  2025
85.000 TL,AtakumYalı Mh.,156,3+1,19 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,65,1+1,21 Aralık  2025
10.500 TL,KöylerBüyükoyumca Mh.,45,1+1,19 Aralık  2025
24.500 TL,AtakumCumhuriyet Mah.,145,3+1,19 Aralık  2025
30.000 TL,AtakentGüzelyalı Mh.,50,Stüdyo (1+0),19 Aralık  2025
19.000 TL,AtakentYenimahalle Mah.,80,2+1,19 Aralık  2025
26.000 TL,AtakentAtakent Mh.,135,3+1,19 Aralık  2025
22.500 TL,KurupelitKörfez Mh.,110,2+1,19 Aralık  2025
35.000 TL,KurupelitKörfez Mh.,90,2+1,20 Aralık  2025
12.000 TL,AtakentYenimahalle Mah.,55,1+1,19 Aralık  2025
17.000 TL,Atakumİstiklal Mh.,60,1+1,20 Aralık  2025
17.500 TL,KurupelitKörfez Mh.,55,1+1,19 Aralık  2025
18.250 TL,KurupelitKörfez Mh.,60,1+1,19 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,60,1+1,19 Aralık  2025
100.000 TL,TaflanCamii Mh.,400,5+1,19 Aralık  2025
25.000 TL,MerkezAlanlı Mh.,100,2+1,19 Aralık  2025
18.000 TL,KöylerBüyükkolpınar Mh.,80,2+1,19 Aralık  2025
23.000 TL,AtakumEsenevler Mah.,140,3+1,19 Aralık  2025
17.000 TL,KurupelitKörfez Mh.,60,1+1,19 Aralık  2025
14.500 TL,AtakumEsenevler Mah.,70,1+1,19 Aralık  2025
18.000 TL,KurupelitKörfez Mh.,60,1+1,20 Aralık  2025
13.000 TL,AtakentYenimahalle Mah.,50,1+1,13 Aralık  2025
30.000 TL,AtakentYenimahalle Mah.,185,4+1,19 Aralık  2025
15.000 TL,Altınkumİncesu Yalı Mh.,50,1+1,19 Aralık  2025
19.000 TL,AtakumMimarsinan Mah.,80,2+1,19 Aralık  2025
14.100 TL,AtakentYenimahalle Mah.,60,1+1,19 Aralık  2025
10.500 TL,KurupelitKörfez Mh.,50,1+1,20 Aralık  2025
15.000 TL,AtakentYenimahalle Mah.,100,2+1,19 Aralık  2025
17.500 TL,AtakumEsenevler Mah.,85,2+1,19 Aralık  2025
30.000 TL,AtakentYenimahalle Mah.,165,3+1,20 Aralık  2025
30.000 TL,AtakumMevlana Mah.,145,3+1,20 Aralık  2025
26.000 TL,AtakentAtakent Mh.,120,3+1,19 Aralık  2025
22.500 TL,AtakumDenizevleri Mah.,90,2+1,19 Aralık  2025
10.500 TL,Atakumİstiklal Mh.,55,1+1,20 Aralık  2025
12.000 TL,AtakumMevlana Mah.,55,2+1,19 Aralık  2025
45.000 TL,AtakumMimarsinan Mah.,180,4+1,19 Aralık  2025
17.500 TL,KurupelitKörfez Mh.,60,1+1,19 Aralık  2025
11.000 TL,KöylerBüyükoyumca Mh.,46,1+1,19 Aralık  2025
25.500 TL,KöylerBüyükoyumca Mh.,165,3+1,20 Aralık  2025
13.000 TL,KurupelitKörfez Mh.,50,1+1,20 Aralık  2025
23.000 TL,Atakumİstiklal Mh.,100,2+1,19 Aralık  2025
25.000 TL,AtakumCumhuriyet Mah.,115,2+1,19 Aralık  2025
17.500 TL,AtakentYenimahalle Mah.,71,1+1,20 Aralık  2025
14.750 TL,KurupelitKörfez Mh.,55,1+1,22 Aralık  2025
10.250 TL,Altınkumİncesu Yalı Mh.,50,1+1,19 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,55,1+1,21 Aralık  2025
16.000 TL,AtakumCumhuriyet Mah.,109,3+1,13 Aralık  2025
25.000 TL,AtakentAtatepe,125,2+1,19 Aralık  2025
22.000 TL,AtakumBeypınar Mh.,100,2+1,20 Aralık  2025
25.000 TL,AtakentYenimahalle Mah.,55,1+1,19 Aralık  2025
35.500 TL,AtakumDenizevleri Mah.,135,3+1,20 Aralık  2025
15.000 TL,KöylerBüyükoyumca Mh.,55,1+1,19 Aralık  2025
14.000 TL,AtakumYeşildere Mh.,60,1+1,19 Aralık  2025
15.000 TL,AtakentYenimahalle Mah.,60,1+1,19 Aralık  2025
18.000 TL,AtakumEsenevler Mah.,120,2+1,19 Aralık  2025
25.250 TL,KöylerKüçükkolpınar Mh.,160,3+1,18 Aralık  2025
12.000 TL,Atakumİstiklal Mh.,60,1+1,18 Aralık  2025
21.000 TL,AtakentYenimahalle Mah.,140,3+1,19 Aralık  2025
9.000 TL,AtakumMimarsinan Mah.,75,2+1,18 Aralık  2025
18.000 TL,KöylerBalaç Mh.,85,2+1,18 Aralık  2025
18.000 TL,KöylerBüyükoyumca Mh.,155,3+1,18 Aralık  2025
26.000 TL,AtakentAtakent Mh.,110,2+1,19 Aralık  2025
18.000 TL,AtakumCumhuriyet Mah.,100,2+1,18 Aralık  2025
22.000 TL,AtakumMimarsinan Mah.,130,3+1,18 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,130,3+1,19 Aralık  2025
