Fiyat,Lokasyon,m2,Oda,Tarih
23.000 TL,KurupelitKörfez Mh.,90,2+1,26 Aralık  2025
16.000 TL,KöylerBüyükoyumca Mh.,75,2+1,26 Aralık  2025
25.000 TL,AtakumMevlana Mah.,85,2+1,25 Aralık  2025
35.000 TL,AtakentAtakent Mh.,170,3+1,25 Aralık  2025
37.000 TL,KurupelitKörfez Mh.,155,3+1,25 Aralık  2025
39.500 TL,AtakumMimarsinan Mah.,180,3+1,25 Aralık  2025
33.500 TL,AtakentGüzelyalı Mh.,135,3+1,25 Aralık  2025
15.250 TL,AtakentAtatepe,50,1+1,25 Aralık  2025
18.000 TL,KöylerBüyükoyumca Mh.,155,3+1,25 Aralık  2025
25.000 TL,KöylerKüçükkolpınar Mh.,55,1+1,25 Aralık  2025
20.000 TL,KurupelitKörfez Mh.,100,2+1,25 Aralık  2025
13.500 TL,AtakentYenimahalle Mah.,65,1+1,25 Aralık  2025
28.000 TL,AtakentAtakent Mh.,145,3+1,25 Aralık  2025
18.000 TL,AtakumDenizevleri Mah.,145,3+1,26 Aralık  2025
20.000 TL,KöylerBüyükoyumca Mh.,55,1+1,25 Aralık  2025
22.000 TL,AtakentYenimahalle Mah.,140,3+1,25 Aralık  2025
20.000 TL,AtakentGüzelyalı Mh.,150,2+1,25 Aralık  2025
37.500 TL,AtakumYalı Mh.,70,1+1,25 Aralık  2025
17.000 TL,KurupelitKörfez Mh.,60,1+1,25 Aralık  2025
24.000 TL,KurupelitKörfez Mh.,50,1+1,25 Aralık  2025
17.000 TL,KurupelitKörfez Mh.,60,1+1,25 Aralık  2025
24.000 TL,KurupelitKörfez Mh.,50,1+1,25 Aralık  2025
27.000 TL,AtakentAtakent Mh.,160,3+1,25 Aralık  2025
14.000 TL,KöylerBüyükoyumca Mh.,78,2+0,25 Aralık  2025
14.000 TL,KurupelitKörfez Mh.,50,1+1,25 Aralık  2025
32.500 TL,AtakumMevlana Mah.,150,3+1,18 Aralık  2025
38.000 TL,KöylerBüyükoyumca Mh.,200,4+1,25 Aralık  2025
17.000 TL,KurupelitKörfez Mh.,70,1+1,25 Aralık  2025
10.000 TL,AtakumEsenevler Mah.,38,1+1,25 Aralık  2025
14.250 TL,AtakumMevlana Mah.,55,1+1,25 Aralık  2025
10.000 TL,AtakentYenimahalle Mah.,60,1+1,25 Aralık  2025
17.500 TL,KurupelitKörfez Mh.,95,1+1,26 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,55,1+1,25 Aralık  2025
23.000 TL,KöylerKüçükkolpınar Mh.,65,1+1,25 Aralık  2025
16.000 TL,AtakentAtakent Mh.,116,3+1,25 Aralık  2025
16.500 TL,KurupelitKörfez Mh.,65,1+1,25 Aralık  2025
20.000 TL,AtakumEsenevler Mah.,135,3+1,25 Aralık  2025
22.000 TL,Altınkumİncesu Yalı Mh.,60,1+1,25 Aralık  2025
26.000 TL,AtakentYenimahalle Mah.,160,3+1,25 Aralık  2025
12.500 TL,KurupelitKörfez Mh.,55,1+1,25 Aralık  2025
10.000 TL,KurupelitKörfez Mh.,55,1+1,25 Aralık  2025
15.000 TL,MerkezAlanlı Mh.,55,1+1,25 Aralık  2025
15.000 TL,AtakentYenimahalle Mah.,55,1+1,25 Aralık  2025
